"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1293","report list should have at least one report","webkit","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","23","valid token grants access to GET /api/auth/me","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1023","should clear localStorage token on logout","chromium","2026-08-25","passed","2026-08-25","Logout","","",""
"","1623","should have user profile in localStorage after login","webkit","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","160","series should contain 30 days of data","chromium","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","565","should show error message when password is incorrect @smoke","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","1528","admin should see delete buttons on user rows","webkit","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","694","should add a new user successfully","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","555","should show error when email field is empty","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","21","valid token grants access to GET /api/auth/me","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","5933","should log in with valid admin credentials @smoke","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","759","each metric card should show a trend direction indicator","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","383","admin should see delete buttons on user rows","chromium","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","662","should filter users by search query","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","365","should cancel delete dialog without deleting","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
